pub_date,authors,title,venue,url_slug,paper_url
2018-03-01,"<u>Jie Ren</u>, Kai Wu, and Dong Li",Understanding Application Recomputability without Crash Consistency in Non-Volatile Memory ,Workshop on Memory Centric Programming for HPC (<b>MCHPC'18</b>),18mchpc,http://pasalabs.org/papers/2018/MCHPC18_JieRen_Understanding_Application.pdf
2018-03-30,"<u>Jie Ren</u>, Chunhua Liao, and Dong Li",Opera: Data Access Pattern Similarity Analysis To Optimize OpenMP Task Affinity,"24th International Workshop On High-level Parallel Programming Models And Supportive Environments (<b>HIPS'18</b>),",18hips,https://ieeexplore.ieee.org/document/8778255
2018-04-01," Kai Wu, <u>Jie Ren</u>, and Dong Li",Runtime Data Management on Non-Volatile Memory-based Heterogeneous Memory for Task-Parallel Programs ,"30th ACM/IEEE International Conference for High Performance Computing, Networking, Storage and Analysis (<b>SC'18</b>)",18sc,http://pasalabs.org/papers/2018/SC18_Kai.pdf
2020-01-01," Ivy Peng, Kai Wu, <u>Jie Ren</u>, Dong Li and Maya Gokhale.",Demystifying the Performance of HPC Scientific Applications on NVM-based Memory Systems ,34th IEEE International Parallel and Distributed Processing Symposium  (<b>IPDPS'20</b>),20ipdps,http://pasalabs.org/papers/2020/IPDPS20_hpc_optane.pdf
2020-09-01,"Kai Wu, Ivy B. Peng, <u>Jie Ren</u> and Dong Li",Ribbon: High Performance Cache Line Flushing for Persistent Memory ,29th International Conference on Parallel Architectures and Compilation Techniques (<b>PACT'20</b>),20pact,http://pasalabs.org/papers/2020/PACT20_Ribbon.pdf
2020-11-01,"<u>Jie Ren</u>, Kai Wu and Dong Li",Exploring Non-Volatility of Non-Volatile Memory for High Performance Computing Under Failures ,IEEE International Conference on Cluster Computing (<b>Cluster'20</b>),20cluster,http://pasalabs.org/papers/2020/Cluster20_easycrash.pdf
2020-12-01,"<u>Jie Ren</u>, Minjia Zhang and Dong Li",HM-ANN: Efficient Billion-Point Nearest Neighbor Search on Heterogeneous Memory ,34th Conference on Neural Information Processing Systems(<b>NeurIPS'20</b>),20neurips,http://pasalabs.org/papers/2020/NeurIPS20_HM_ANN.pdf
2021-03-01,"<u>Jie Ren</u>, Jiaolin Luo, Kai Wu, Minjia Zhang, Hyeran Jeon and Dong Li",Sentinel: Efficient Tensor Migration and Allocation on Heterogeneous Memory Systems for Deep Learning ,27th IEEE International Symposium on HighPerformance Computer Architecture(<b>HPCA'21</b>),21hpca,http://pasalabs.org/papers/2021/hpca21_sentinel.pdf
2021-01-02,"Jiawen Liu, <u>Jie Ren</u>, Roberto Gioiosa, Dong Li and Jiajia Li","Sparta: High-Performance, Element-Wise Sparse Tensor Contraction on Heterogeneous Memory ",26th Principles and Practice of Parallel Programming (<b>PPoPP'21</b>),21ppopp,http://pasalabs.org/papers/2021/ppopp21_sparta.pdf
2021-01-01,"Kai Wu, <u>Jie Ren</u>, Ivy Peng and Dong Li","ArchTM: Architecture-Aware, High Performance Transaction for Persistent Memory ",19th USENIX Conference on File and Storage Technologies (<b>FAST'21</b>),21fast,http://pasalabs.org/papers/2021/fast21_archTM.pdf
2021-03-04,"<u>Jie Ren</u>, Jiaolin Luo, Ivy Peng, Kai Wu, and Dong Li ",Optimizing Large-Scale Plasma Simulations on Persistent Memory-based Heterogeneous Memory with Effective Data Placement Across Memory Hierarchy ,International Conference on Supercomputing (<b>ICS'21</b>),21ics,http://pasalabs.org/papers/2021/ICS21_WarpX_Optane.pdf
2021-04-01,"<u>Jie Ren</u>, Samyam Rajbhandari, Reza Yazdani Aminabadi, Olatunji Ruwase, Shuangyan Yang, Minjia Zhang, Dong Li and Yuxiong He",ZeRO-Offload: Democratizing Billion-Scale Model Training ,2021 USENIX Annual Technical Conference (<b>ATC'21</b>),21atc,https://www.usenix.org/conference/atc21/presentation/ren-jie
